artifact,union_find
org.apache.maven:maven-monitor:2.0.4,30125
org.apache.maven.wagon:wagon-ssh:1.0-alpha-7,30125
com.jcraft:jsch:0.1.24,30125
org.codehaus.plexus:plexus-utils:1.1,30125
org.apache.james:apache-mailet-api:2.5.0,30125
javax.mail:mail:1.4.4,30125
javax.activation:activation:1.1.1,30125
org.eclipse.jetty:jetty-servlet:7.0.0.M2,30125
org.eclipse.jetty:jetty-security:7.0.0.M2,30125
org.eclipse.jetty:jetty-server:7.0.0.M2,30125
org.eclipse.jetty:jetty-continuation:7.0.0.M2,30125
org.eclipse.jetty:jetty-http:7.0.0.M2,30125
org.eclipse.jetty:jetty-io:7.0.0.M2,30125
org.eclipse.jetty:jetty-util:7.0.0.M2,30125
org.ow2.jonas:jonas-discovery-base:5.2.3,30125
org.ow2.jonas:jonas-commons:5.2.3,30125
org.ow2.jonas:jonas-version:5.2.3,30125
org.ow2.jonas.osgi:javaee-api:5.2.3,30125
org.mortbay.jetty:jsp-api-2.1:6.1.5,30125
javax.faces:jsf-impl:1.2_08,30125
org.objectweb.monolog:monolog-core:2.1.12,30125
org.objectweb.monolog:monolog-wrapper-p6spy:2.1.12,30125
org.ow2.bundles:ow2-util-log:1.0.27,30125
org.ow2.util:util-log:1.0.29,30125
p6spy:p6spy:1.3,30125
org.ow2.bundles:ow2-util-file:1.0.27,30125
org.ow2.util:util-file:1.0.29,30125
org.ow2.bundles:ow2-util-url:1.0.27,30125
org.ow2.util:util-url:1.0.29,30125
org.ow2.jonas:jonas-bootstrap-loader:5.2.3,30125
org.ow2.jonas:jonas-services-api:5.2.3,30125
org.osgi:org.osgi.compendium:4.2.0,30125
org.ow2.jonas:jonas-deployment-api:5.2.3,30125
org.ow2.bundles:ow2-util-ee-deploy-api:1.0.31,30125
org.ow2.util:util-ee-deploy-api:1.0.33,30125
org.ow2.util:util-archive-api:1.0.33,30125
org.ow2.util:util-plan-deploy-api:1.0.33,30125
org.ow2.util:util-plan-schemas:1.0.33,30125
javax.xml.bind:jaxb-api:2.1,30125
org.ow2.util:util-substitution:1.0.33,30125
org.ow2.util:util-ee-deploy-impl:1.0.33,30125
org.ow2.util:util-archive-impl:1.0.33,30125
org.ow2.util:util-xml:1.0.33,30125
org.ow2.util.asm:asm:3.1,30125
org.ow2.util.asm:asm-commons:3.1,30125
org.ow2.util.asm:asm-tree:3.1,30125
org.ow2.util:util-execution:1.0.33,30125
org.ow2.bundles:ow2-util-event-api:1.0.27,30125
org.ow2.util:util-event-api:1.0.29,30125
org.ow2.bundles:ow2-util-ee-metadata-war-api:1.0.27,30125
org.ow2.util:util-ee-metadata-war-api:1.0.29,30125
org.ow2.util:util-ee-metadata-ws-api:1.0.29,30125
org.ow2.easybeans:easybeans-api:1.2.3,30125
org.ow2.spec.ee:ow2-ejb-3.0-spec:1.0.6,30125
org.ow2.spec.ee:ow2-jpa-1.0-spec:1.0.6,30125
org.ow2.spec.ee:ow2-connector-1.5-spec:1.0.6,30125
