artifact,betweenness_centrality
com.sun.enterprise:config:1.0.0,510.5
org.glassfish.packager:glassfish-javahelp:3.1.1,507
org.glassfish.packager:glassfish-javahelp:3.0-b73,506
org.glassfish.connectors:connectors-runtime:3.0.1-b08,502
org.apache.maven.reporting:maven-reporting-impl:2.0.4,501.5
org.apache.abdera:abdera-parser:1.0,499.833333333333
commons-validator:commons-validator:1.3.1,498.959523809524
org.apache.maven:maven-core:3.0,498.166666666667
org.glassfish.web:webtier-all:3.1.1-b10,496.666666666667
org.glassfish.packager:glassfish-jdbc:3.1.1-b01,495
org.glassfish.packager:glassfish-jpa:3.1-b17,495
org.apache.maven.shared:maven-osgi:0.2.0,494
org.glassfish.packager:glassfish-jta:3.0.1-b20,492
org.jboss.resteasy:resteasy-jaxrs:2.0.1.GA,491.5
org.glassfish.packager:glassfish-common:3.0-b61,490
org.glassfish.web:web-glue:3.1-b40,486
org.glassfish.packager:glassfish-cmp:3.1.1-b10,486
org.glassfish.packager:glassfish-jms:3.0-b74,481
org.glassfish.packager:glassfish-ejb:3.0-b63,477.5
org.jvnet.hudson:maven-embedder:2.0.4-hudson-1,477
org.glassfish.scripting:jruby-all:1.0-b17,475
org.glassfish.packager:glassfish-common-tmp:3.0-b72,474.666666666667
org.glassfish.packager:glassfish-javahelp:3.1-b35,474
org.glassfish.packager:glassfish-registration:3.1-b16,474
org.glassfish.packager:glassfish-upgrade:3.0-b61,472
net.sourceforge.htmlunit:htmlunit:2.9,471.5
commons-validator:commons-validator:1.2.0,467
org.ow2.jonas:jonas-sec-interceptors-iiop:5.2.0-M3,466
org.glassfish.fighterfish:osgi-jdbc:1.0.0,466
org.glassfish.packager:glassfish-cluster:3.2-b01,464
org.codehaus.plexus:plexus-container-default:1.0-alpha-9,462.57380952381
org.glassfish.packager:glassfish-jsf:3.1.1-b02,460
org.glassfish.packager:glassfish-common-tmp:3.2-b01,460
org.glassfish.common:glassfish-api:3.0-b71,459
org.glassfish.packager:glassfish-jpa:3.1.1-b05,459
com.sun.grizzly:grizzly-config:1.9.19,454
org.apache.geronimo.framework:j2ee-system:2.2.1,452.65
org.glassfish.packager:glassfish-registration:3.0-b71,450
org.glassfish.scripting:grizzly-jruby-module:1.0-b17,449
org.glassfish.packager:shoal:3.1-b32,448.166666666667
org.apache.maven:maven-project:2.0,447.904761904762
