artifact,page_rank
org.apache.felix:javax.servlet:1.0.0,0.8199955
javax.servlet.jsp:jsp-api:2.1,0.81895
com.sun.enterprise:tiger-types-osgi:0.3.32-prelude-b28,0.817029
org.glassfish.hk2.external:bean-validator:1.0.55,0.8168675
com.google.guava:guava:11.0.2,0.813085
javax.xml.crypto:jsr105-api:1.0.1,0.810994
javassist:javassist:3.6.0.GA,0.810161
org.springframework:spring-beans:3.0.7.RELEASE,0.8092005
org.apache.maven:maven-project:2.0.4,0.807186
org.codehaus.plexus:plexus-component-annotations:1.5.5,0.8070755
com.sun:ldapbp:1.0,0.8063615
org.hamcrest:hamcrest-core:1.3,0.802562
com.sun.grizzly:grizzly-config:1.9.18-e,0.8015675
com.google.guava:guava:11.0.1,0.8014145
com.jcraft:jsch:0.1.44-1,0.8003435
org.apache.mina:mina-core:2.0.0-RC1,0.7975215
org.codehaus.plexus:plexus-utils:1.4.1,0.79702
org.apache.geronimo.specs:geronimo-javamail_1.4_spec:1.3,0.796187
org.glassfish.hk2:class-model:1.1.0,0.794997
org.antlr:antlr-runtime:3.1.3,0.793382
net.sourceforge.cssparser:cssparser:0.9.5,0.7912315
org.codehaus.plexus:plexus-digest:1.0,0.790883
org.codehaus.jackson:jackson-core-asl:1.9.5,0.7897695
com.thoughtworks.xstream:xstream:1.4.2,0.7897185
com.sun.corba:glassfish-corba-csiv2-idl:3.2.0-b002,0.789557
org.apache.maven:maven-core:2.0.9,0.788537
asm:asm-tree:3.2,0.7876615
org.jboss.netty:netty:3.2.3.Final,0.787024
de.java2html:java2html:5.0,0.787007
org.javassist:javassist:3.14.0-GA,0.786106
com.sun.enterprise:config:0.3.32-prelude-b28,0.7847545
com.sun.enterprise:config:1.0.55,0.7846015
junit:junit:3.8,0.7841
com.sun.enterprise:config:1.0.26,0.7812865
org.99soft.guice:rocoto:6.1,0.7812355
org.apache.abdera:abdera-parser:1.0,0.780938
com.healthmarketscience.jackcess:jackcess:1.2.6,0.778422
org.springframework:spring-aop:2.5.4,0.7783455
org.springframework:spring-web:3.0.5.RELEASE,0.7783285
org.ow2.spec.ee:ow2-ejb-3.0-spec:1.0.2,0.775481
com.sun.xml.security:jsr105-impl:1.0.2,0.7743165
