"artifact","label"
"org.codehaus.plexus:plexus-utils:1.0.5","6981"
"classworlds:classworlds:1.1-alpha-2","383"
"org.glassfish.orb:orb-connector:3.1-b35","417"
"com.sun.corba:glassfish-corba-orbgeneric:3.1.0-b019","385"
"com.sun.corba:glassfish-corba-omgapi:3.1.0-b019","386"
"com.sun.corba:glassfish-corba-internal-api:3.1.0-b019","387"
"com.sun.enterprise:hk2:1.0.72","142"
"com.sun.enterprise:hk2-core:1.0.72","140"
"org.glassfish.hk2:class-model:1.0.72","140"
"com.sun.enterprise:config:1.0.72","142"
"org.glassfish.hk2.external:bean-validator:1.0.72","144"
"com.sun.enterprise:auto-depends:1.0.72","394"
"org.glassfish.hk2.external:asm-all-repackaged:1.0.72","394"
"org.glassfish.deployment:dol:3.1-b35","417"
"org.glassfish:javax.servlet:3.1-b35","396"
"org.glassfish:javax.annotation:3.1-b35","397"
"org.glassfish:javax.transaction:3.1-b35","398"
"org.glassfish:javax.enterprise.deploy:3.1-b35","399"
"org.eclipse.persistence:javax.persistence:2.0.3","400"
"org.glassfish:javax.resource:3.1-b35","401"
"org.glassfish.common:common-util:3.1-b35","402"
"org.glassfish.deployment:deployment-common:3.1-b35","417"
"org.glassfish.common:internal-api:3.1-b35","417"
"org.glassfish.common:annotation-framework:3.1-b35","405"
"org.glassfish:javax.ejb:3.1-b35","406"
"org.glassfish.common:glassfish-api:3.1-b35","409"
"org.glassfish.common:scattered-archive-api:3.1-b35","408"
"com.sun.enterprise:config-types:1.0.72","409"
"com.sun.grizzly:grizzly-utils:1.9.27","411"
"com.sun.grizzly:grizzly-lzma:1.9.27","411"
"org.glassfish.admin:config-api:3.1-b35","417"
"com.sun.grizzly:grizzly-config:1.9.27","417"
"com.sun.enterprise:osgi-adapter:1.0.72","414"
"com.sun.grizzly:grizzly-http:1.9.27","417"
"com.sun.grizzly:grizzly-framework:1.9.27","411"
"com.sun.grizzly:grizzly-rcm:1.9.27","417"
"com.sun.grizzly:grizzly-portunif:1.9.27","418"
"org.glassfish.admin:monitoring-core:3.1-b35","420"
"org.glassfish.common:stats77:3.1-b35","420"
"org.glassfish.flashlight:flashlight-framework:3.1-b35","213"
"org.glassfish.flashlight:flashlight-agent:3.1-b35","422"
"org.fusesource.scalate:scalate-guice:1.4.0","425"
"org.fusesource.scalate:scalate-core:1.4.0","425"
"org.fusesource.scalate:scalate-util:1.4.0","425"
"com.sun.jersey.contribs:jersey-guice:1.5","13"
"com.sun.jersey:jersey-server:1.5","429"
"com.sun.jersey:jersey-core:1.5","428"
"asm:asm:3.1","429"
"com.google.inject.extensions:guice-servlet:2.0","13"
"com.google.inject:guice:2.0","13"
"org.wicketstuff:multi-text-input-examples:1.4.10","437"
"org.wicketstuff:multi-text-input:1.4.10","435"
"org.wicketstuff:prototype:1.4.10","434"
"org.apache.wicket:wicket-extensions:1.4-rc2","435"
"org.apache.wicket:wicket:1.4-rc2","437"
"org.slf4j:slf4j-api:1.5.11","437"
"org.slf4j:slf4j-log4j12:1.5.11","437"
"org.drools:drools-jsr94:5.5.0.Final","441"
"org.drools:drools-core:5.5.0.Final","441"
"org.mvel:mvel2:2.1.3.Final","441"
"org.drools:knowledge-api:5.5.0.Final","442"
"org.drools:knowledge-internal-api:5.5.0.Final","443"
"org.drools:drools-compiler:5.5.0.Final","448"
"org.antlr:antlr-runtime:3.3","448"
"org.antlr:antlr:3.3","448"
"org.antlr:stringtemplate:3.2.1","448"
"antlr:antlr:2.7.7","448"
"org.eclipse.jdt.core.compiler:ecj:3.5.1","449"
"org.drools:drools-decisiontables:5.5.0.Final","451"
"org.drools:drools-templates:5.5.0.Final","451"
"net.sourceforge.jexcelapi:jxl:2.6.10","94"
"jsr94:jsr94:1.1","453"
"org.apache.james:apache-james-mpt-app:0.1","457"
"org.apache.james:apache-james-mpt-main:0.1","455"
"commons-logging:commons-logging:1.1","3876"
"junit:junit:3.8.1","457"
"commons-cli:commons-cli:1.1","458"
"org.jvnet.hudson.main:maven-agent:1.95","457"
"org.jvnet.hudson.main:maven-interceptor:1.95","457"
"org.apache.maven:maven-core:2.0.4","457"
"org.apache.maven:maven-settings:2.0.4","462"
"org.apache.maven.wagon:wagon-file:1.0-alpha-7","463"
"org.apache.maven:maven-plugin-parameter-documenter:2.0.4","464"
"org.apache.maven.wagon:wagon-http-lightweight:1.0-alpha-6","465"
"org.apache.maven.reporting:maven-reporting-api:2.0.4","294"
"org.apache.maven:maven-profile:2.0.4","467"
"org.apache.maven:maven-model:2.0.4","468"
"org.apache.maven.wagon:wagon-provider-api:1.0-alpha-6","469"
"org.codehaus.plexus:plexus-container-default:1.0-alpha-9","457"
"org.apache.maven:maven-repository-metadata:2.0.4","471"
"org.apache.maven:maven-error-diagnostics:2.0.4","472"
"org.apache.maven:maven-project:2.0.4","482"
"org.apache.maven:maven-plugin-registry:2.0.4","474"
"org.apache.maven:maven-plugin-api:2.0.4","475"
"org.apache.maven.wagon:wagon-ssh-external:1.0-alpha-6","476"
"org.apache.maven:maven-plugin-descriptor:2.0.4","457"
"org.apache.maven:maven-artifact-manager:2.0.4","482"
"org.apache.maven:maven-monitor:2.0.4","479"
"org.apache.maven.wagon:wagon-ssh:1.0-alpha-7","481"
"com.jcraft:jsch:0.1.24","481"
"org.codehaus.plexus:plexus-utils:1.1","482"
"org.apache.james:apache-mailet-api:2.5.0","485"
"javax.mail:mail:1.4.4","485"
"javax.activation:activation:1.1.1","485"
"org.eclipse.jetty:jetty-servlet:7.0.0.M2","351"
"org.eclipse.jetty:jetty-security:7.0.0.M2","351"
"org.eclipse.jetty:jetty-server:7.0.0.M2","351"
"org.eclipse.jetty:jetty-continuation:7.0.0.M2","489"
"org.eclipse.jetty:jetty-http:7.0.0.M2","492"
"org.eclipse.jetty:jetty-io:7.0.0.M2","492"
"org.eclipse.jetty:jetty-util:7.0.0.M2","492"
"org.ow2.jonas:jonas-discovery-base:5.2.3","498"
"org.ow2.jonas:jonas-commons:5.2.3","498"
"org.ow2.jonas:jonas-version:5.2.3","495"
"org.ow2.jonas.osgi:javaee-api:5.2.3","498"
"org.mortbay.jetty:jsp-api-2.1:6.1.5","11242"
"javax.faces:jsf-impl:1.2_08","498"
"org.objectweb.monolog:monolog-core:2.1.12","499"
"org.objectweb.monolog:monolog-wrapper-p6spy:2.1.12","500"
"org.ow2.bundles:ow2-util-log:1.0.27","565"
"org.ow2.util:util-log:1.0.29","565"
"p6spy:p6spy:1.3","503"
"org.ow2.bundles:ow2-util-file:1.0.27","505"
"org.ow2.util:util-file:1.0.29","505"
"org.ow2.bundles:ow2-util-url:1.0.27","507"
"org.ow2.util:util-url:1.0.29","507"
"org.ow2.jonas:jonas-bootstrap-loader:5.2.3","508"
"org.ow2.jonas:jonas-services-api:5.2.3","510"
"org.osgi:org.osgi.compendium:4.2.0","510"
"org.ow2.jonas:jonas-deployment-api:5.2.3","511"
"org.ow2.bundles:ow2-util-ee-deploy-api:1.0.31","514"
"org.ow2.util:util-ee-deploy-api:1.0.33","514"
"org.ow2.util:util-archive-api:1.0.33","514"
"org.ow2.util:util-plan-deploy-api:1.0.33","518"
"org.ow2.util:util-plan-schemas:1.0.33","518"
